cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,le,le_mu,le_lambda,le_rot,nj,lj,jaceps,gamma
0033,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0,0.001,true,0,0,0.1,0.5
0034,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0,0.005,true,0,0,0.1,0.5
0035,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0,0.01,true,0,0,0.1,0.5
0036,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0,0.05,true,0,0,0.1,0.5
0037,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0,0.1,true,0,0,0.1,0.5
0038,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0,0.5,true,0,0,0.1,0.5
0039,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0,1,true,0,0,0.1,0.5
0040,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,0,true,0,0,0.1,0.5
0041,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,0.0001,true,0,0,0.1,0.5
0042,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,0.005,true,0,0,0.1,0.5
0043,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,0.001,true,0,0,0.1,0.5
0044,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,0.005,true,0,0,0.1,0.5
0045,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,0.01,true,0,0,0.1,0.5
0046,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,0.05,true,0,0,0.1,0.5
0047,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,0.1,true,0,0,0.1,0.5
0048,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,0.5,true,0,0,0.1,0.5
0049,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.0001,1,true,0,0,0.1,0.5
0050,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0,true,0,0,0.1,0.5
