cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,tp,vp,jaceps,gamma,im,imsteps,maxsv,nbch,uselie
0001,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,true,true,3,80,12,2,0,0,NMI,64,false,5,2.5,0.0005,0.0001,0.0001,0.1,0.5,SS,8,-1,2,false
0002,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,true,true,3,80,12,2,0,0,NMI,64,false,5,2.5,0.001,0.0001,0.0001,0.1,0.5,SS,8,-1,2,false
0003,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,true,true,3,80,12,2,0,0,NMI,64,false,5,2.5,0.002,0.0001,0.0001,0.1,0.5,SS,8,-1,2,false
0004,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,true,true,3,80,12,2,0,0,NMI,64,false,5,2.5,0.003,0.0001,0.0001,0.1,0.5,SS,8,-1,2,false
0005,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,true,true,3,80,12,2,0,0,NMI,64,false,5,2.5,0.005,0.0001,0.0001,0.1,0.5,SS,8,-1,2,false
