cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,le,le_mu,le_lambda,le_rot,lj,lj_eps,nj,nj_eps,nj_gamma,im,imsteps,maxsv,nbch,uselie
0027,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00500,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0028,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00010,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0029,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00050,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0030,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00070,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0031,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00100,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0032,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00200,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0033,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00300,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0034,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00500,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0035,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00010,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0036,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00050,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0037,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00070,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0038,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00100,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0039,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00200,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0040,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00300,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0041,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00500,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0042,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00010,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0043,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00050,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0044,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00070,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0045,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00100,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0046,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00200,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0047,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00300,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0048,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00500,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0049,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0.00050,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0050,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0.00070,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0051,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0.00100,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0052,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0.00300,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0053,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0.00500,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0054,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0.00700,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0055,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0.00900,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0056,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0.02000,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
