cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,tp,vp,jaceps,gamma,im,imsteps,maxsv,nbch,uselie
0001,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0002,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.00001,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0003,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.0001,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0004,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.0005,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0005,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.001,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0006,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.002,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0007,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.003,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0008,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.004,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0009,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.005,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0010,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.006,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0011,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.007,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0012,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.008,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0013,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.009,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0014,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.01,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
0015,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.001,0.0001,0.00001,0.1,0.5,SS,64,-1,0,false
0016,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.001,0.0001,0.0001,0.1,0.5,SS,64,-1,0,false
0017,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.001,0.0001,0.0005,0.1,0.5,SS,64,-1,0,false
0018,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0.00001,NMI,64,false,5,2.5,0.001,0.0001,0.001,0.1,0.5,SS,64,-1,0,false
