cfgid,usemsk,srcmsk,interp,pyramid,sim,bins,samples,iters,step,adaptive,auto,alpha,A,a,ds,be
0037,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,0.5,true,true,1.0,10,1000,2.5,0.1
0038,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,10,1000,2.5,0.1
0039,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,1.0,true,true,1.0,10,1000,2.5,0.1
0040,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,0.5,true,true,1.0,20,1000,2.5,0.1
0041,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,2.5,0.1
0042,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,1.0,true,true,1.0,20,1000,2.5,0.1
0043,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,0.5,true,true,1.0,30,1000,2.5,0.1
0044,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,30,1000,2.5,0.1
0045,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,1.0,true,true,1.0,30,1000,2.5,0.1
0046,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,0.5,true,true,1.0,50,1000,2.5,0.1
0047,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,50,1000,2.5,0.1
0048,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,1.0,true,true,1.0,50,1000,2.5,0.1
0049,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,100,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0050,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,300,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0051,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0052,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1000,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0053,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,100,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0054,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,300,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0055,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0056,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1000,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0057,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,100,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0058,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,300,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0059,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0060,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1000,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0061,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,100,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0062,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,300,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0063,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0064,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0065,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,100,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0066,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,300,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0067,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0068,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0069,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,100,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0070,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,300,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0071,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0072,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0073,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0074,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2000,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0075,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0076,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0077,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2000,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0078,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0079,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0080,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2000,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0081,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0082,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0083,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
