cfgid,vel,sim,bins,levels,maxit,ds,be,jl,le
0106,true,NMI,64,4,500,2.5,0.001,0.0001,0
0107,true,NMI,64,4,750,2.5,0.001,0.0001,0
0108,true,NMI,64,4,1000,2.5,0.001,0.0001,0
0109,true,NMI,64,3,500,2.5,0.001,0.01,0
0110,true,NMI,64,3,750,2.5,0.001,0.01,0
0111,true,NMI,64,3,1000,2.5,0.001,0.01,0
0112,true,NMI,64,4,300,2.5,0.001,0.01,0
0113,true,NMI,64,4,500,2.5,0.001,0.01,0
0114,true,NMI,64,4,750,2.5,0.001,0.01,0
0115,true,NMI,64,4,1000,2.5,0.001,0.01,0
0116,true,NMI,64,3,500,2.5,0.005,0,0
0117,true,NMI,64,3,750,2.5,0.005,0,0
0118,true,NMI,64,3,1000,2.5,0.005,0,0
0119,true,NMI,64,4,300,2.5,0.005,0,0
0120,true,NMI,64,4,500,2.5,0.005,0,0
0121,true,NMI,64,4,750,2.5,0.005,0,0
0122,true,NMI,64,4,1000,2.5,0.005,0,0
0123,true,NMI,64,3,500,2.5,0.005,0.0001,0
0124,true,NMI,64,3,750,2.5,0.005,0.0001,0
0125,true,NMI,64,3,1000,2.5,0.005,0.0001,0
0126,true,NMI,64,4,300,2.5,0.005,0.0001,0
0127,true,NMI,64,4,500,2.5,0.005,0.0001,0
0128,true,NMI,64,4,750,2.5,0.005,0.0001,0
0129,true,NMI,64,4,1000,2.5,0.005,0.0001,0
0130,true,NMI,64,3,500,2.5,0.005,0.01,0
0131,true,NMI,64,3,750,2.5,0.005,0.01,0
0132,true,NMI,64,3,1000,2.5,0.005,0.01,0
0133,true,NMI,64,4,300,2.5,0.005,0.01,0
0134,true,NMI,64,4,500,2.5,0.005,0.01,0
0135,true,NMI,64,4,750,2.5,0.005,0.01,0
0136,true,NMI,64,4,1000,2.5,0.005,0.01,0
0137,true,NMI,64,3,500,2.5,0.01,0,0
0138,true,NMI,64,3,750,2.5,0.01,0,0
0139,true,NMI,64,3,1000,2.5,0.01,0,0
0140,true,NMI,64,4,300,2.5,0.01,0,0
0141,true,NMI,64,4,500,2.5,0.01,0,0
0142,true,NMI,64,4,750,2.5,0.01,0,0
0143,true,NMI,64,4,1000,2.5,0.01,0,0
0144,true,NMI,64,3,500,2.5,0.01,0.0001,0
0145,true,NMI,64,3,750,2.5,0.01,0.0001,0
0146,true,NMI,64,3,1000,2.5,0.01,0.0001,0
0147,true,NMI,64,4,300,2.5,0.01,0.0001,0
0148,true,NMI,64,4,500,2.5,0.01,0.0001,0
0149,true,NMI,64,4,750,2.5,0.01,0.0001,0
0150,true,NMI,64,4,1000,2.5,0.01,0.0001,0
0151,true,NMI,64,3,500,2.5,0.01,0.01,0
0152,true,NMI,64,3,750,2.5,0.01,0.01,0
0153,true,NMI,64,3,1000,2.5,0.01,0.01,0
0154,true,NMI,64,4,300,2.5,0.01,0.01,0
0155,true,NMI,64,4,500,2.5,0.01,0.01,0
0156,true,NMI,64,4,750,2.5,0.01,0.01,0
0157,true,NMI,64,4,1000,2.5,0.01,0.01,0
