cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,tp,vp,jaceps,gamma
0035,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.005,0,0,0.1,0.5
0036,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.01,0,0,0.1,0.5
0037,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0,0,0,0.1,0.5
0038,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.00001,0,0,0.1,0.5
0039,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0040,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0041,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0042,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.005,0,0,0.1,0.5
0043,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.01,0,0,0.1,0.5
0044,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0,0,0,0.1,0.5
0045,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.00001,0,0,0.1,0.5
0046,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0047,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0048,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0049,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.005,0,0,0.1,0.5
0050,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.01,0,0,0.1,0.5
0051,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0,0,0,0.1,0.5
0052,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.00001,0,0,0.1,0.5
0053,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0054,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0055,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0056,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.005,0,0,0.1,0.5
0057,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,false,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.01,0,0,0.1,0.5
0058,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0,0,0,0.1,0.5
0059,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.00001,0,0,0.1,0.5
0060,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0061,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0062,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0063,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.005,0,0,0.1,0.5
0064,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.01,0,0,0.1,0.5
0065,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0,0,0,0.1,0.5
0066,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.00001,0,0,0.1,0.5
0067,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0068,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0069,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
