cfgid,vel,sim,bins,levels,maxit,ds,be,jl,le,l2
0001,false,NMI,64,3,500,2.5,0.001,0.00001,0 0,0
0002,false,NMI,64,3,500,2.5,0.001,0.00001,0 0.01,0
